Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,0.166346,0.174859,0.123439,0.166639,0.166639,9465580139
2020-11-30,0.166630,0.173851,0.146573,0.158867,0.158867,10001529042
2020-12-07,0.158876,0.159041,0.130468,0.153964,0.153964,5747555286
2020-12-14,0.154016,0.174342,0.149769,0.161988,0.161988,5776585095
2020-12-21,0.162004,0.166846,0.127420,0.154422,0.154422,9123292223
2020-12-28,0.154440,0.208679,0.153445,0.204995,0.204995,12516446878
2021-01-04,0.205236,0.353344,0.194450,0.304895,0.304895,30627294564
2021-01-11,0.304996,0.395653,0.233033,0.379852,0.379852,27415450604
2021-01-18,0.379735,0.395443,0.283576,0.353881,0.353881,22674159877
2021-01-25,0.353850,0.375405,0.305461,0.344898,0.344898,19233283561
2021-02-01,0.344817,0.702539,0.334194,0.663238,0.663238,43714816182
2021-02-08,0.662380,0.973325,0.634283,0.848419,0.848419,60964105224
2021-02-15,0.847825,1.193958,0.717115,1.100520,1.100520,49768499565
2021-02-22,1.100406,1.476653,0.824145,1.308059,1.308059,88252251025
2021-03-01,1.309792,1.342408,1.041156,1.133367,1.133367,46873178455
2021-03-08,1.132939,1.214923,0.993052,1.059154,1.059154,30557864326
2021-03-15,1.058601,1.473155,1.004308,1.189140,1.189140,51839112698
2021-03-22,1.189203,1.279076,1.055945,1.191124,1.191124,29989136927
2021-03-29,1.190976,1.245915,1.166279,1.191420,1.191420,19003504458
2021-04-05,1.191552,1.340895,1.165118,1.266735,1.266735,24178195538
2021-04-12,1.266206,1.557761,1.098977,1.275501,1.275501,42953139938
2021-04-19,1.278005,1.322387,0.935227,1.088250,1.088250,32521907186
2021-04-26,1.090186,1.410331,1.082105,1.326812,1.326812,19881803394
2021-05-03,1.326938,1.829795,1.258929,1.770562,1.770562,40566469392
2021-05-10,1.766068,2.461766,1.505321,2.309113,2.309113,67440005358
2021-05-17,2.300190,2.325002,1.028031,1.325436,1.325436,71022869614
2021-05-24,1.316236,1.832433,1.270361,1.577279,1.577279,38245152482
2021-05-31,1.575644,1.888650,1.527209,1.678248,1.678248,24812938106
2021-06-07,1.677226,1.740569,1.358179,1.558359,1.558359,20944449324
2021-06-14,1.557019,1.611401,1.308951,1.429188,1.429188,15245702030
2021-06-21,1.427028,1.436257,1.002985,1.335202,1.335202,28204320804
2021-06-28,1.337114,1.493717,1.286607,1.458184,1.458184,15469379464
2021-07-05,1.461221,1.461221,1.288597,1.348145,1.348145,9706456964
2021-07-12,1.348264,1.373091,1.152655,1.183698,1.183698,10195360907
2021-07-19,1.181999,1.247973,1.021433,1.228501,1.228501,9893181568
2021-07-26,1.228722,1.399011,1.215360,1.317730,1.317730,13142521090
2021-08-02,1.315770,1.494273,1.263189,1.427830,1.427830,13504226945
2021-08-09,1.426617,2.250360,1.394436,2.169153,2.169153,38607766518
2021-08-16,2.167868,2.718612,1.887675,2.713725,2.713725,41308968435
2021-08-23,2.708616,2.967398,2.473766,2.855986,2.855986,51504035842
2021-08-30,2.850741,3.099186,2.706473,2.910824,2.910824,36515633914
2021-09-06,2.911581,2.926230,2.040953,2.581727,2.581727,53302791565
2021-09-13,2.582778,2.590281,2.265415,2.282299,2.282299,24450147350
2021-09-20,2.283438,2.458108,1.923280,2.208495,2.208495,36627952634
2021-09-27,2.212038,2.320416,2.023027,2.252873,2.252873,20052728046
2021-10-04,2.251848,2.369656,2.116876,2.197214,2.197214,16290931965
2021-10-11,2.191907,2.249355,2.075584,2.156963,2.156963,18994169344
2021-10-18,2.157833,2.296410,2.095114,2.123435,2.123435,19746762175
2021-10-25,2.119801,2.199589,1.833420,1.965026,1.965026,22398856361
2021-11-01,1.964962,2.144626,1.917960,2.021872,2.021872,19163054712
2021-11-08,2.021946,2.375914,1.944602,2.040853,2.040853,26916301454
2021-11-15,2.041248,2.094682,1.710864,1.839763,1.839763,14976749275
2021-11-22,1.838291,1.839811,1.594203,1.668091,1.668091,6619481274
2021-11-25,1.669332,1.698582,1.620885,1.621680,1.621680,3043322368
