Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,0.357876,0.419008,0.280774,0.317558,0.317558,635305618
2020-11-30,0.317549,0.373204,0.301272,0.337144,0.337144,636329479
2020-12-07,0.337136,0.342907,0.277349,0.309143,0.309143,394030231
2020-12-14,0.309290,0.384040,0.304624,0.339005,0.339005,702612713
2020-12-21,0.339378,0.365059,0.269630,0.319123,0.319123,623242566
2020-12-28,0.319170,0.460714,0.316953,0.422767,0.422767,1353385852
2021-01-04,0.424077,0.528184,0.370076,0.462031,0.462031,2060676262
2021-01-11,0.461105,0.584311,0.374812,0.584057,0.584057,1512682478
2021-01-18,0.584790,0.603813,0.432266,0.563449,0.563449,1393980659
2021-01-25,0.563429,0.700316,0.526318,0.651248,0.651248,1990761592
2021-02-01,0.650958,0.888542,0.619758,0.845040,0.845040,2577408375
2021-02-08,0.844747,1.824609,0.844304,1.472092,1.472092,8261831644
2021-02-15,1.471586,1.544167,1.204983,1.308164,1.308164,5461617645
2021-02-22,1.308482,1.313716,0.841700,1.017224,1.017224,4435593898
2021-03-01,1.019401,1.247893,1.009108,1.103649,1.103649,3180403669
2021-03-08,1.104841,1.228513,1.017516,1.130390,1.130390,2840451125
2021-03-15,1.127212,1.377766,1.117389,1.181771,1.181771,3752888164
2021-03-22,1.181683,1.269210,0.988114,1.236743,1.236743,2243423311
2021-03-29,1.236537,1.470251,1.219370,1.314932,1.314932,2638550860
2021-04-05,1.315349,1.546441,1.255479,1.520488,1.520488,2597753312
2021-04-12,1.523566,1.815738,1.263299,1.454038,1.454038,3848428473
2021-04-19,1.456696,1.509761,0.926800,1.094039,1.094039,2920239742
2021-04-26,1.095718,1.444160,1.085569,1.387143,1.387143,1925317686
2021-05-03,1.387272,1.693262,1.256056,1.512605,1.512605,2495357930
2021-05-10,1.514682,1.555251,1.214443,1.400199,1.400199,3932511371
2021-05-17,1.397064,1.409709,0.680273,0.825903,0.825903,3182684224
2021-05-24,0.820081,1.060451,0.783026,0.850180,0.850180,1463769507
2021-05-31,0.849049,1.150692,0.815533,1.024901,1.024901,1251984520
2021-06-07,1.025469,1.138997,0.859379,1.040552,1.040552,1536204870
2021-06-14,1.040802,1.099933,0.879249,0.936015,0.936015,885106111
2021-06-21,0.934155,0.941210,0.674374,0.834954,0.834954,1075375356
2021-06-28,0.834784,0.924159,0.801541,0.879841,0.879841,663907072
2021-07-05,0.880379,0.939955,0.828884,0.892433,0.892433,535230286
2021-07-12,0.892850,0.904212,0.774098,0.799911,0.799911,435188085
2021-07-19,0.799155,0.906492,0.677779,0.890030,0.890030,530619438
2021-07-26,0.890322,0.933137,0.803646,0.814141,0.814141,566776735
2021-08-02,0.812790,0.894614,0.790933,0.825421,0.825421,587641758
2021-08-09,0.825115,1.023643,0.804667,0.996451,0.996451,1151589072
2021-08-16,0.995756,1.243796,0.855820,1.158165,1.158165,1925141623
2021-08-23,1.158063,1.186826,0.961722,1.021523,1.021523,1281670483
2021-08-30,1.022681,1.350057,0.978783,1.316672,1.316672,2059814221
2021-09-06,1.314261,2.481387,1.042347,2.379480,2.379480,16054691987
2021-09-13,2.381145,2.544702,1.867661,1.973453,1.973453,7938614995
2021-09-20,1.973364,2.050285,1.530708,1.773634,1.773634,5583249325
2021-09-27,1.781787,1.996920,1.551558,1.987661,1.987661,4284759980
2021-10-04,1.984018,2.092853,1.754492,1.771453,1.771453,4328692114
2021-10-11,1.768067,1.889162,1.608586,1.768144,1.768144,2457775718
2021-10-18,1.769118,1.943056,1.686497,1.816633,1.816633,2289546304
2021-10-25,1.815521,2.099178,1.706375,1.828690,1.828690,3355612783
2021-11-01,1.828744,1.972472,1.779768,1.865430,1.865430,2084529496
2021-11-08,1.867662,2.339833,1.839525,1.983129,1.983129,5697166912
2021-11-15,1.984799,2.829822,1.569854,1.833936,1.833936,7917974388
2021-11-22,1.832576,1.870509,1.699246,1.743945,1.743945,1373954518
2021-11-25,1.742472,1.773581,1.727971,1.746098,1.746098,414650272
