Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,2.479901,2.847761,2.220267,2.285690,2.285690,16078251
2020-11-30,2.285658,2.436239,2.065450,2.250527,2.250527,19057041
2020-12-07,2.250787,2.362998,2.036610,2.298421,2.298421,13234816
2020-12-14,2.298032,2.785391,2.134332,2.496053,2.496053,15480511
2020-12-21,2.494598,2.808810,2.194190,2.253310,2.253310,14360732
2020-12-28,2.250422,2.794678,2.198292,2.573396,2.573396,22555126
2021-01-04,2.565412,4.125708,2.463819,4.093892,4.093892,36868547
2021-01-11,4.095180,4.741095,3.080078,4.621489,4.621489,55285764
2021-01-18,4.621499,6.238651,4.227528,6.054687,6.054687,87467274
2021-01-25,6.054197,6.215615,4.639777,4.808392,4.808392,79558370
2021-02-01,4.808379,5.991506,4.678791,5.482517,5.482517,51498578
2021-02-08,5.480335,7.714685,5.164012,6.885047,6.885047,69866166
2021-02-15,6.875606,8.013874,5.756216,7.199485,7.199485,66674776
2021-02-22,7.231135,13.202694,5.597129,9.288193,9.288193,141456700
2021-03-01,9.289734,17.300480,8.933962,13.498393,13.498393,124057651
2021-03-08,13.496549,16.759678,12.421716,14.850364,14.850364,96507778
2021-03-15,14.848702,23.293421,12.163249,21.312422,21.312422,106788260
2021-03-22,21.314426,31.022720,19.072710,27.026707,27.026707,151645529
2021-03-29,27.022137,34.228771,25.363115,27.284758,27.284758,160540631
2021-04-05,27.309666,32.731918,26.156265,27.862501,27.862501,130814281
2021-04-12,27.859758,31.409969,20.150660,24.235100,24.235100,148541308
2021-04-19,24.172113,28.365618,16.740320,27.467682,27.467682,129117539
2021-04-26,27.463696,32.094490,26.696527,26.824383,26.824383,133850821
2021-05-03,26.821142,28.692291,23.636040,23.956747,23.956747,107789857
2021-05-10,23.958649,45.029087,22.719721,23.823038,23.823038,417731462
2021-05-17,23.903948,25.938189,9.911711,13.239955,13.239955,219368770
2021-05-24,13.295819,18.898964,11.998193,14.215376,14.215376,153864437
2021-05-31,14.216342,19.247383,12.527779,15.721290,15.721290,156438959
2021-06-07,15.689137,22.297283,13.578094,15.680965,15.680965,259589747
2021-06-14,15.786440,19.076071,14.648978,18.401407,18.401407,167217488
2021-06-21,18.447065,18.447065,8.281470,10.317709,10.317709,155563936
2021-06-28,10.250845,12.444663,9.645127,10.964665,10.964665,104577891
2021-07-05,10.925021,12.914144,10.235480,11.365369,11.365369,99180154
2021-07-12,11.364874,11.448930,8.163656,9.031624,9.031624,71294234
2021-07-19,9.012310,10.943366,7.107052,10.011810,10.011810,74376108
2021-07-26,10.028596,13.806278,8.890097,11.529578,11.529578,135481219
2021-08-02,11.505702,16.497236,10.705939,14.965619,14.965619,116862126
2021-08-09,14.924382,16.863928,13.894355,16.847689,16.847689,89478667
2021-08-16,16.838194,35.860420,16.789145,28.821693,28.821693,770678048
2021-08-23,28.821627,50.031750,23.623074,42.559284,42.559284,836794986
2021-08-30,42.658600,70.043228,39.031902,50.096443,50.096443,1581844233
2021-09-06,50.074219,74.033134,42.025204,59.779381,59.779381,1269376923
2021-09-13,59.812832,59.836105,47.952019,49.776012,49.776012,354337889
2021-09-20,49.722282,54.820030,34.198879,43.203102,43.203102,438090827
2021-09-27,43.261703,58.843941,38.070263,57.514187,57.514187,324749830
2021-10-04,57.500702,69.695702,48.244003,58.063568,58.063568,580238436
2021-10-11,57.950348,64.029114,49.368366,51.513760,51.513760,270174845
2021-10-18,51.543617,58.008617,48.589027,51.462322,51.462322,213769088
2021-10-25,51.340355,60.424038,45.262451,54.815632,54.815632,364105671
2021-11-01,54.872379,90.940041,50.547520,76.204140,76.204140,1665786418
2021-11-08,76.452660,79.842918,63.480804,70.027679,70.027679,628559528
2021-11-15,70.149872,72.860558,51.196438,64.479996,64.479996,717148918
2021-11-22,64.406883,64.522575,55.862244,58.114037,58.114037,186331820
2021-11-25,58.431496,60.699440,57.728279,59.405216,59.405216,55613316
