Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,0.260743,0.286746,0.209816,0.233944,0.233944,951902613
2020-11-30,0.233961,0.258494,0.226432,0.235687,0.235687,999156919
2020-12-07,0.235701,0.239173,0.201269,0.212600,0.212600,821531379
2020-12-14,0.212601,0.262663,0.211339,0.231992,0.231992,1069479144
2020-12-21,0.231982,0.240000,0.182262,0.208646,0.208646,1097534968
2020-12-28,0.208657,0.219497,0.195566,0.216469,0.216469,1007979259
2021-01-04,0.216634,0.294687,0.204700,0.257956,0.257956,1808733065
2021-01-11,0.257932,0.284932,0.202288,0.272842,0.272842,1820115465
2021-01-18,0.272860,0.359779,0.229504,0.319090,0.319090,2717884512
2021-01-25,0.319062,0.337960,0.272703,0.302250,0.302250,2091242255
2021-02-01,0.302292,0.424350,0.291905,0.408393,0.408393,2477175970
2021-02-08,0.408038,0.698408,0.388899,0.561749,0.561749,4635189793
2021-02-15,0.561473,0.655758,0.463160,0.605740,0.605740,3070449752
2021-02-22,0.605799,0.640238,0.399069,0.519335,0.519335,3138111445
2021-03-01,0.520408,0.834726,0.520408,0.694285,0.694285,3677241554
2021-03-08,0.694108,0.880457,0.666045,0.770341,0.770341,3280874228
2021-03-15,0.770016,1.372766,0.721746,1.115952,1.115952,7964011187
2021-03-22,1.116182,1.206165,0.944333,1.117845,1.117845,3268894677
2021-03-29,1.118816,1.281490,1.080158,1.186988,1.186988,2742068465
2021-04-05,1.186726,1.648437,1.149125,1.444683,1.444683,4832061359
2021-04-12,1.441739,1.600827,1.144219,1.346577,1.346577,4253577078
2021-04-19,1.350679,1.465599,0.876807,1.021812,1.021812,5007366969
2021-04-26,1.024924,1.297956,1.017538,1.256546,1.256546,3120379490
2021-05-03,1.255745,1.589385,1.150009,1.414283,1.414283,3719913079
2021-05-10,1.411617,1.493425,1.086822,1.140828,1.140828,3469997003
2021-05-17,1.140878,1.142845,0.455348,0.562630,0.562630,2696539016
2021-05-24,0.559931,0.928798,0.552658,0.704886,0.704886,1982507031
2021-05-31,0.704641,0.849219,0.674561,0.762233,0.762233,1627668611
2021-06-07,0.762319,0.790626,0.598713,0.646283,0.646283,1421617887
2021-06-14,0.646298,0.722919,0.568498,0.599055,0.599055,1200891558
2021-06-21,0.598464,0.601033,0.434392,0.540312,0.540312,1207623735
2021-06-28,0.540867,0.618921,0.532612,0.604461,0.604461,1079971604
2021-07-05,0.605762,0.647038,0.540826,0.562241,0.562241,1191954666
2021-07-12,0.562352,0.600616,0.498398,0.522821,0.522821,1456170235
2021-07-19,0.522388,0.553355,0.458297,0.541335,0.541335,944397795
2021-07-26,0.541501,0.717064,0.539580,0.660009,0.660009,1419788537
2021-08-02,0.660536,0.735231,0.626443,0.674850,0.674850,1380200037
2021-08-09,0.674950,0.817591,0.650456,0.812044,0.812044,1256064171
2021-08-16,0.811883,0.887587,0.701367,0.866451,0.866451,2086956435
2021-08-23,0.869683,0.902029,0.766375,0.813747,0.813747,2332220823
2021-08-30,0.814988,1.001555,0.783476,0.982214,0.982214,2315149801
2021-09-06,0.982694,0.988709,0.708951,0.804486,0.804486,2396929877
2021-09-13,0.804810,0.808592,0.719618,0.738799,0.738799,1508400857
2021-09-20,0.738955,0.739796,0.603692,0.638346,0.638346,1486545579
2021-09-27,0.639722,0.737121,0.581627,0.728945,0.728945,1301781700
2021-10-04,0.728911,0.777328,0.691984,0.722817,0.722817,1574473123
2021-10-11,0.722772,0.739940,0.670575,0.692095,0.692095,1857507922
2021-10-18,0.692192,0.727963,0.673799,0.689382,0.689382,1445839890
2021-10-25,0.689182,1.446842,0.634995,0.990820,0.990820,6535726120
2021-11-01,0.995098,1.118989,0.933179,0.998702,0.998702,2871594448
2021-11-08,0.999954,1.388955,0.966619,1.148731,1.148731,4737637608
2021-11-15,1.149179,1.227495,0.959491,1.074493,1.074493,2223177611
2021-11-22,1.074396,1.137877,1.003596,1.133932,1.133932,675165690
2021-11-25,1.142231,1.294134,1.122568,1.294134,1.294134,528424640
