Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,1.930390,1.991950,1.707918,1.817560,1.817560,15991968
2020-11-30,1.816457,1.900163,1.749557,1.793713,1.793713,11989944
2020-12-07,1.793615,1.932644,1.412812,1.689513,1.689513,15469985
2020-12-14,1.689032,1.819614,1.529080,1.583078,1.583078,15280867
2020-12-21,1.586914,1.696822,1.355889,1.493322,1.493322,19663374
2020-12-28,1.490331,1.693637,1.373753,1.441996,1.441996,21712876
2021-01-04,1.442534,3.307635,1.426109,2.137049,2.137049,282300987
2021-01-11,2.138712,2.243871,1.745848,2.123617,2.123617,47705763
2021-01-18,2.123139,3.836404,2.082377,2.774877,2.774877,505063192
2021-01-25,2.783805,3.595549,2.763392,2.807573,2.807573,271941335
2021-02-01,2.811951,3.818401,2.767082,3.620252,3.620252,226390024
2021-02-08,3.610519,5.566755,3.309907,4.358612,4.358612,554726551
2021-02-15,4.362063,5.764046,3.757933,5.116935,5.116935,490920771
2021-02-22,5.132234,5.132234,3.398578,3.816470,3.816470,152623298
2021-03-01,3.820198,4.282804,3.613176,3.878452,3.878452,106176917
2021-03-08,3.877405,4.487489,3.703036,3.861895,3.861895,152377074
2021-03-15,3.857542,4.552643,3.598662,3.896189,3.896189,154082045
2021-03-22,3.895611,4.245943,3.264153,3.568252,3.568252,152542281
2021-03-29,3.569709,4.997870,3.556524,4.440990,4.440990,247149524
2021-04-05,4.437811,4.725214,4.216677,4.694865,4.694865,116763414
2021-04-12,4.704140,5.014330,3.802593,4.029582,4.029582,200451454
2021-04-19,4.030420,7.236368,3.789961,5.605599,5.605599,1183242679
2021-04-26,5.607552,6.147382,5.000616,5.623525,5.623525,392004613
2021-05-03,5.616380,5.807808,4.999986,5.272723,5.272723,301450277
2021-05-10,5.271480,5.510848,4.174242,4.612424,4.612424,267446656
2021-05-17,4.605082,6.674513,2.201866,2.664289,2.664289,727532116
2021-05-24,2.642894,3.955236,2.492481,3.397342,3.397342,255889741
2021-05-31,3.397749,3.705815,3.155667,3.239592,3.239592,128729716
2021-06-07,3.239661,3.288012,2.452653,2.590358,2.590358,183466625
2021-06-14,2.588179,2.852057,2.102398,2.325423,2.325423,184490314
2021-06-21,2.328114,4.629010,1.657407,3.458241,3.458241,924369286
2021-06-28,3.469587,3.962608,2.811104,3.415377,3.415377,525176714
2021-07-05,3.419594,3.419594,2.810153,2.887621,2.887621,214446161
2021-07-12,2.888731,3.195108,2.250108,2.320723,2.320723,143286572
2021-07-19,2.320319,2.708734,2.100809,2.533905,2.533905,183867978
2021-07-26,2.535425,2.827577,2.436599,2.613656,2.613656,123709981
2021-08-02,2.614369,3.167692,2.569776,2.818912,2.818912,248589946
2021-08-09,2.819204,3.363609,2.781728,3.135898,3.135898,185840736
2021-08-16,3.131189,3.302752,2.856599,3.227808,3.227808,194698007
2021-08-23,3.225694,5.078218,2.916651,4.274105,4.274105,761065154
2021-08-30,4.265663,10.658358,4.053350,5.482707,5.482707,3173276199
2021-09-06,5.476186,6.271638,3.834637,4.962459,4.962459,1576662479
2021-09-13,4.949062,6.217061,4.242162,5.921637,5.921637,1059008605
2021-09-20,5.941988,8.265009,5.174118,6.270693,6.270693,3460186140
2021-09-27,6.263643,6.985343,5.513958,6.311564,6.311564,1065612772
2021-10-04,6.311249,6.338299,5.508083,5.680971,5.680971,721278203
2021-10-11,5.659874,6.583324,5.105774,6.153628,6.153628,645450265
2021-10-18,6.150728,7.044645,5.919938,6.684729,6.684729,544473505
2021-10-25,6.699942,7.855821,6.020759,6.232742,6.232742,796047737
2021-11-01,6.234484,6.740619,6.093338,6.341952,6.341952,391783378
2021-11-08,6.344541,6.771263,5.443103,5.822813,5.822813,407789205
2021-11-15,5.828784,6.221220,4.831326,5.814193,5.814193,416414940
2021-11-22,5.807388,6.207832,5.051940,5.251290,5.251290,229864732
2021-11-25,5.259076,5.356337,5.209648,5.214353,5.214353,50663380
