Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,0.506998,0.556418,0.457606,0.500570,0.500570,3656342320
2021-04-05,0.502525,0.527204,0.373106,0.466164,0.466164,6107856336
2021-04-12,0.465668,0.833977,0.459545,0.548926,0.548926,14970760173
2021-04-19,0.550219,0.585043,0.325911,0.391337,0.391337,6880598311
2021-04-26,0.392700,0.612909,0.389009,0.531485,0.531485,5748834503
2021-05-03,0.531927,0.554696,0.456898,0.485129,0.485129,3587285337
2021-05-10,0.485557,0.522094,0.366845,0.436995,0.436995,5004788225
2021-05-17,0.435980,0.453803,0.165742,0.215488,0.215488,3170596290
2021-05-24,0.213901,0.337849,0.206500,0.269811,0.269811,2694786523
2021-05-31,0.269729,0.305913,0.252780,0.266874,0.266874,1235711671
2021-06-07,0.266835,0.354215,0.205467,0.285822,0.285822,3623406268
2021-06-14,0.285924,0.367385,0.266905,0.288189,0.288189,3493241727
2021-06-21,0.287904,0.289421,0.180388,0.238485,0.238485,2452245316
2021-06-28,0.239204,0.261312,0.230591,0.243211,0.243211,1090835813
2021-07-05,0.243591,0.283517,0.230310,0.257895,0.257895,2584075079
2021-07-12,0.258471,0.279912,0.224433,0.237232,0.237232,2003199186
2021-07-19,0.237070,0.261694,0.199229,0.250202,0.250202,1669241262
2021-07-26,0.250733,0.277467,0.240105,0.260888,0.260888,1736240259
2021-08-02,0.260455,0.299202,0.253680,0.277044,0.277044,1665186111
2021-08-09,0.276770,0.388490,0.265825,0.370678,0.370678,4707998502
2021-08-16,0.370469,0.413418,0.316065,0.377942,0.377942,3240857812
2021-08-23,0.377651,0.414048,0.345194,0.376308,0.376308,3026182776
2021-08-30,0.375830,0.444927,0.359312,0.425597,0.425597,2876282660
2021-09-06,0.425300,0.449473,0.288751,0.338229,0.338229,3142043766
2021-09-13,0.338244,0.352381,0.301667,0.316379,0.316379,1490112665
2021-09-20,0.316412,0.316876,0.242771,0.262860,0.262860,1562089167
2021-09-27,0.264022,0.297620,0.243696,0.286975,0.286975,1133137854
2021-10-04,0.287149,0.375862,0.273562,0.309443,0.309443,2802340658
2021-10-11,0.308984,0.335641,0.286640,0.311849,0.311849,1817776483
2021-10-18,0.311658,0.334783,0.309644,0.317326,0.317326,1219206397
2021-10-25,0.316920,0.643009,0.281745,0.417766,0.417766,8661419520
2021-11-01,0.417258,0.539109,0.408983,0.489636,0.489636,8360703332
2021-11-08,0.489364,0.593525,0.440096,0.552476,0.552476,7006879591
2021-11-15,0.553191,0.585295,0.417893,0.443252,0.443252,4232592449
2021-11-22,0.442911,0.490084,0.421154,0.485770,0.485770,1669125714
2021-11-25,0.482204,0.529129,0.479503,0.510129,0.510129,1380951552
