Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,0.216135,0.241234,0.213736,0.229161,0.229161,1009400988
2021-04-05,0.229611,0.249687,0.181254,0.213486,0.213486,1318597679
2021-04-12,0.213395,0.250750,0.189032,0.206551,0.206551,1153043492
2021-04-19,0.206593,0.210746,0.140426,0.168414,0.168414,891101323
2021-04-26,0.168428,0.198948,0.168102,0.187045,0.187045,707769694
2021-05-03,0.187028,0.194276,0.165138,0.177500,0.177500,936855599
2021-05-10,0.177812,0.185097,0.145824,0.151414,0.151414,866704265
2021-05-17,0.155121,0.155339,0.087941,0.097073,0.097073,836317996
2021-05-24,0.097123,0.138176,0.096573,0.112185,0.112185,556531170
2021-05-31,0.112213,0.135885,0.111899,0.124294,0.124294,452526273
2021-06-07,0.124301,0.128762,0.107753,0.120157,0.120157,366482286
2021-06-14,0.120151,0.123977,0.100973,0.108191,0.108191,338729073
2021-06-21,0.108150,0.108219,0.081044,0.106267,0.106267,410418210
2021-06-28,0.106344,0.125262,0.103833,0.122427,0.122427,360006157
2021-07-05,0.122467,0.132435,0.110792,0.131287,0.131287,450326176
2021-07-12,0.131307,0.131307,0.108281,0.112306,0.112306,439014812
2021-07-19,0.112105,0.117010,0.099043,0.116816,0.116816,272350922
2021-07-26,0.116817,0.132761,0.115038,0.124230,0.124230,276538113
2021-08-02,0.124258,0.142253,0.118382,0.136710,0.136710,278230572
2021-08-09,0.136716,0.153110,0.133131,0.150839,0.150839,277644623
2021-08-16,0.150556,0.157371,0.139328,0.155901,0.155901,250612412
2021-08-23,0.155929,0.163953,0.146450,0.160180,0.160180,275414300
2021-08-30,0.160439,0.187603,0.151050,0.185003,0.185003,326026603
2021-09-06,0.185028,0.204529,0.157639,0.183026,0.183026,531974742
2021-09-13,0.182972,0.201410,0.167921,0.184812,0.184812,431567641
2021-09-20,0.184778,0.187280,0.149681,0.158398,0.158398,389255688
2021-09-27,0.158306,0.184434,0.145647,0.182438,0.182438,281453207
2021-10-04,0.182733,0.197791,0.173689,0.190071,0.190071,409442857
2021-10-11,0.190338,0.195462,0.177692,0.188880,0.188880,298919207
2021-10-18,0.188963,0.198807,0.180348,0.192217,0.192217,237634819
2021-10-25,0.192155,0.229438,0.186174,0.210737,0.210737,964532617
2021-11-01,0.212114,0.409059,0.197443,0.354053,0.354053,3811139003
2021-11-08,0.354693,0.440643,0.322467,0.438508,0.438508,2720959759
2021-11-15,0.439832,0.798384,0.392353,0.729413,0.729413,7390049342
2021-11-22,0.730432,0.969806,0.666655,0.890801,0.890801,5956528927
2021-11-25,0.893211,0.912017,0.837840,0.858909,0.858909,1904449408
