Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,3.129600,3.529398,2.885795,3.117053,3.117053,969434260
2021-04-05,3.116308,3.490120,2.791168,3.134162,3.134162,1590041477
2021-04-12,3.119204,4.650969,2.557155,3.221771,3.221771,3569982561
2021-04-19,3.223464,3.454472,2.213215,2.374096,2.374096,1883205451
2021-04-26,2.381491,3.487089,2.358502,3.270362,3.270362,1754730204
2021-05-03,3.279157,3.946825,2.773259,3.437246,3.437246,2200946237
2021-05-10,3.444180,4.197490,2.833466,3.276764,3.276764,3720322539
2021-05-17,3.272859,3.604201,1.067336,1.329273,1.329273,2887372817
2021-05-24,1.321480,1.932603,1.282803,1.675955,1.675955,1469566836
2021-05-31,1.679096,2.897865,1.603076,2.453124,2.453124,2308258027
2021-06-07,2.459019,2.577181,1.989173,2.206996,2.206996,1551785751
2021-06-14,2.205104,2.356074,1.748215,1.927503,1.927503,876731109
2021-06-21,1.924503,1.949957,1.220232,1.579388,1.579388,1041131586
2021-06-28,1.585032,1.904460,1.553497,1.840749,1.840749,822653195
2021-07-05,1.840862,2.094193,1.665354,1.756722,1.756722,821073961
2021-07-12,1.756635,1.789032,1.395453,1.416400,1.416400,624424029
2021-07-19,1.413772,1.616251,1.226709,1.523055,1.523055,789103433
2021-07-26,1.524906,1.780142,1.475555,1.663685,1.663685,816798600
2021-08-02,1.659006,1.980027,1.534125,1.758121,1.758121,1003195866
2021-08-09,1.757388,2.373609,1.710699,2.222546,2.222546,1375093261
2021-08-16,2.222615,2.463451,1.859160,2.450094,2.450094,1622610657
2021-08-23,2.445194,2.513843,1.987715,2.107036,2.107036,1327759955
2021-08-30,2.107028,2.542169,2.031854,2.477684,2.477684,1686978113
2021-09-06,2.479472,2.647423,1.681562,2.430823,2.430823,1975458994
2021-09-13,2.430021,3.432394,2.058670,3.027043,3.027043,3540055747
2021-09-20,3.041733,3.128395,2.068873,2.547274,2.547274,2430457624
2021-09-27,2.554887,2.958174,2.215170,2.815697,2.815697,1938943442
2021-10-04,2.814503,3.092895,2.631868,2.704135,2.704135,1764367504
2021-10-11,2.701473,3.147111,2.522039,2.869037,2.869037,1481490110
2021-10-18,2.868997,3.948086,2.687807,3.504210,3.504210,1993444039
2021-10-25,3.503084,5.490807,3.486063,4.426345,4.426345,6172938705
2021-11-01,4.420482,4.744098,3.889682,4.504069,4.504069,2409856442
2021-11-08,4.500945,4.992720,3.716049,4.129929,4.129929,2471404155
2021-11-15,4.130681,4.295725,3.300795,3.804933,3.804933,2405100218
2021-11-22,3.802921,6.131659,3.709461,5.830381,5.830381,3120484554
2021-11-25,5.780162,6.111031,5.567676,5.889475,5.889475,1509999488
